Total.Household.Income,Region,Total.Food.Expenditure,Household.Head.Sex,Household.Head.Age,Type.of.Household,Total.Number.of.Family.members,House.Floor.Area,House.Age,Number.of.bedrooms,Electricity
161714,XII - SOCCSKSARGEN,65466,Female,58,Extended Family,3,10,30,0,1
170655,XII - SOCCSKSARGEN,97042,Male,50,Extended Family,6,10,24,1,1
206995,XII - SOCCSKSARGEN,80880,Male,33,Extended Family,6,24,12,2,1
135002,XII - SOCCSKSARGEN,57965,Male,38,Single Family,5,40,12,2,1
185676,XII - SOCCSKSARGEN,69562,Male,60,Single Family,4,48,12,1,1
114424,XII - SOCCSKSARGEN,52123,Male,36,Single Family,5,18,12,1,1
163360,XII - SOCCSKSARGEN,66381,Male,35,Single Family,3,30,12,1,1
103185,XII - SOCCSKSARGEN,38966,Male,67,Single Family,2,64,12,1,1
304889,XII - SOCCSKSARGEN,57816,Male,56,Single Family,3,63,21,3,1
118127,XII - SOCCSKSARGEN,57412,Female,55,Single Family,5,24,20,2,1
153669,XII - SOCCSKSARGEN,50595,Female,57,Single Family,4,80,25,3,1
846437,XII - SOCCSKSARGEN,157323,Male,38,Single Family,5,64,13,2,1
1215212,XII - SOCCSKSARGEN,212470,Male,55,Single Family,2,250,25,3,1
339314,XII - SOCCSKSARGEN,142560,Male,39,Extended Family,5,95,24,4,1
160698,XII - SOCCSKSARGEN,106245,Male,33,Single Family,4,45,23,2,1
324384,XII - SOCCSKSARGEN,96606,Male,52,Extended Family,3,76,25,2,1
405138,XII - SOCCSKSARGEN,121468,Male,20,Single Family,3,108,23,2,1
169718,XII - SOCCSKSARGEN,70921,Male,63,Single Family,3,45,24,2,1
717408,XII - SOCCSKSARGEN,137174,Female,60,Extended Family,8,36,23,2,1
557699,XII - SOCCSKSARGEN,134995,Female,39,Single Family,4,150,23,3,1
601822,XII - SOCCSKSARGEN,190167,Male,57,Extended Family,10,36,23,2,1
200264,XII - SOCCSKSARGEN,70729,Male,35,Single Family,4,32,31,1,1
237090,XII - SOCCSKSARGEN,87862,Male,45,Extended Family,4,13,12,2,1
283579,XII - SOCCSKSARGEN,60124,Male,67,Single Family,2,120,25,1,1
213747,XII - SOCCSKSARGEN,31187,Male,66,Single Family,1,26,39,4,1
253921,XII - SOCCSKSARGEN,85966,Male,38,Single Family,4,32,12,1,1
251952,XII - SOCCSKSARGEN,59492,Female,48,Extended Family,4,25,21,2,1
95050,XII - SOCCSKSARGEN,49313,Male,72,Single Family,3,26,46,2,1
350768,XII - SOCCSKSARGEN,139869,Female,38,Single Family,3,30,20,3,1
370571,XII - SOCCSKSARGEN,100475,Male,68,Extended Family,5,140,25,5,1
288421,XII - SOCCSKSARGEN,77966,Male,42,Single Family,4,30,16,1,1
173740,XII - SOCCSKSARGEN,79517,Male,51,Extended Family,6,20,18,1,1
250015,XII - SOCCSKSARGEN,62330,Female,50,Single Family,3,50,10,2,1
157685,XII - SOCCSKSARGEN,56013,Male,36,Single Family,3,20,47,2,1
212086,XII - SOCCSKSARGEN,47853,Female,82,Single Family,2,120,15,3,1
439159,XII - SOCCSKSARGEN,139695,Female,56,Extended Family,9,33,10,3,1
298708,XII - SOCCSKSARGEN,123599,Male,59,Extended Family,4,50,18,2,1
179590,XII - SOCCSKSARGEN,92336,Male,35,Extended Family,7,25,36,2,1
111587,XII - SOCCSKSARGEN,41996,Male,46,Single Family,3,15,21,2,1
370266,XII - SOCCSKSARGEN,78049,Male,56,Single Family,4,36,19,3,1
2110675,XII - SOCCSKSARGEN,128022,Male,62,Single Family,5,48,19,3,1
282510,XII - SOCCSKSARGEN,82088,Male,52,Single Family,3,72,19,2,1
378450,XII - SOCCSKSARGEN,81447,Male,41,Single Family,2,36,12,2,1
467792,XII - SOCCSKSARGEN,118249,Female,36,Single Family,4,36,12,2,1
810731,XII - SOCCSKSARGEN,104823,Male,44,Single Family,2,56,18,3,1
639020,XII - SOCCSKSARGEN,125513,Female,46,Single Family,3,56,12,3,1
1846575,XII - SOCCSKSARGEN,211149,Male,45,Single Family,4,36,17,4,1
213156,XII - SOCCSKSARGEN,79613,Female,35,Extended Family,6,36,18,2,1
722645,XII - SOCCSKSARGEN,156914,Female,52,Single Family,5,72,12,4,1
62075,XII - SOCCSKSARGEN,22321,Female,32,Single Family,1,36,12,1,1
182044,XII - SOCCSKSARGEN,90438,Male,51,Extended Family,7,42,16,4,1
463874,XII - SOCCSKSARGEN,112213,Male,47,Extended Family,5,72,18,3,1
543318,XII - SOCCSKSARGEN,106872,Female,31,Single Family,3,36,12,2,1
606697,XII - SOCCSKSARGEN,187229,Male,42,Single Family,10,48,20,2,1
141708,XII - SOCCSKSARGEN,63263,Male,37,Single Family,3,42,12,2,1
652118,XII - SOCCSKSARGEN,151238,Female,38,Single Family,4,36,13,2,1
148990,XII - SOCCSKSARGEN,26416,Male,52,Single Family,2,36,14,2,1
234667,XII - SOCCSKSARGEN,45282,Male,34,Single Family,2,36,12,2,1
138505,XII - SOCCSKSARGEN,39619,Male,73,Single Family,3,36,13,2,1
898462,XII - SOCCSKSARGEN,111216,Male,43,Single Family,4,36,14,2,1
281081,XII - SOCCSKSARGEN,57116,Male,24,Single Family,3,36,13,2,1
432518,XII - SOCCSKSARGEN,69490,Female,31,Single Family,3,36,14,2,1
761200,XII - SOCCSKSARGEN,115615,Female,48,Single Family,5,36,15,2,1
560526,XII - SOCCSKSARGEN,98237,Male,38,Single Family,5,36,12,2,1
542420,XII - SOCCSKSARGEN,69368,Male,48,Extended Family,4,36,15,2,1
170428,XII - SOCCSKSARGEN,43946,Male,42,Single Family,4,36,13,2,1
495300,XII - SOCCSKSARGEN,180164,Female,38,Single Family,3,36,13,2,1
415925,XII - SOCCSKSARGEN,90549,Female,47,Single Family,3,36,14,2,1
122756,XII - SOCCSKSARGEN,48610,Male,47,Single Family,3,30,12,2,1
65676,XII - SOCCSKSARGEN,26221,Male,47,Single Family,1,30,12,1,1
260695,XII - SOCCSKSARGEN,84021,Male,58,Extended Family,11,36,13,3,1
85933,XII - SOCCSKSARGEN,29213,Male,38,Single Family,4,30,17,2,1
192218,XII - SOCCSKSARGEN,86273,Female,73,Extended Family,9,30,19,2,1
638010,XII - SOCCSKSARGEN,77339,Male,37,Extended Family,4,36,14,3,1
122632,XII - SOCCSKSARGEN,35686,Male,48,Single Family,3,36,13,3,1
457810,XII - SOCCSKSARGEN,106023,Female,45,Single Family,2,36,14,3,1
358898,XII - SOCCSKSARGEN,73686,Male,56,Single Family,4,36,13,3,1
537921,XII - SOCCSKSARGEN,86833,Male,33,Single Family,3,36,14,2,1
174045,XII - SOCCSKSARGEN,51112,Male,61,Single Family,3,36,15,2,1
133876,XII - SOCCSKSARGEN,98832,Male,39,Single Family,6,30,16,0,1
140170,XII - SOCCSKSARGEN,65924,Male,46,Single Family,5,30,13,2,1
156565,XII - SOCCSKSARGEN,72494,Male,47,Single Family,4,30,16,1,1
501556,XII - SOCCSKSARGEN,125177,Male,51,Extended Family,7,30,15,2,1
360978,XII - SOCCSKSARGEN,81381,Male,48,Single Family,4,30,15,2,1
203530,XII - SOCCSKSARGEN,92335,Male,41,Extended Family,8,30,13,1,1
72967,XII - SOCCSKSARGEN,31032,Male,58,Single Family,2,30,25,2,1
327308,XII - SOCCSKSARGEN,127863,Male,44,Single Family,6,30,18,2,1
692100,XII - SOCCSKSARGEN,122270,Male,49,Single Family,5,40,14,2,1
152536,XII - SOCCSKSARGEN,57938,Male,40,Single Family,3,30,22,2,1
164184,XII - SOCCSKSARGEN,59782,Male,32,Single Family,4,24,13,1,1
189451,XII - SOCCSKSARGEN,64739,Male,60,Single Family,4,30,16,0,1
133869,XII - SOCCSKSARGEN,29822,Male,60,Single Family,2,30,23,3,1
347298,XII - SOCCSKSARGEN,111048,Male,63,Single Family,7,30,14,2,1
132895,XII - SOCCSKSARGEN,53115,Male,52,Single Family,3,30,14,2,1
241764,XII - SOCCSKSARGEN,72017,Male,44,Single Family,3,40,19,2,1
42750,XII - SOCCSKSARGEN,27267,Male,65,Single Family,2,15,2,1,1
341482,XII - SOCCSKSARGEN,91372,Female,59,Extended Family,2,48,14,2,1
260870,XII - SOCCSKSARGEN,65148,Female,53,Single Family,3,64,15,3,1
143342,XII - SOCCSKSARGEN,55363,Female,53,Single Family,2,36,24,2,1
319302,XII - SOCCSKSARGEN,94193,Female,58,Single Family,5,34,24,2,1
278987,XII - SOCCSKSARGEN,71336,Male,51,Single Family,3,38,24,2,1
205709,XII - SOCCSKSARGEN,47910,Female,76,Extended Family,3,38,24,2,1
477280,XII - SOCCSKSARGEN,129599,Male,30,Extended Family,4,34,24,3,1
1184524,XII - SOCCSKSARGEN,130710,Male,49,Extended Family,5,34,25,2,1
111510,XII - SOCCSKSARGEN,54045,Male,34,Extended Family,2,34,24,2,1
375445,XII - SOCCSKSARGEN,126117,Female,54,Extended Family,5,35,10,2,1
169574,XII - SOCCSKSARGEN,90159,Male,54,Extended Family,7,20,7,1,1
362614,XII - SOCCSKSARGEN,105006,Male,44,Single Family,5,30,8,2,1
170642,XII - SOCCSKSARGEN,51866,Male,45,Extended Family,5,30,17,2,1
182213,XII - SOCCSKSARGEN,63543,Male,57,Single Family,4,30,20,0,1
183125,XII - SOCCSKSARGEN,55437,Female,46,Single Family,3,30,17,2,1
175000,XII - SOCCSKSARGEN,61374,Male,51,Single Family,4,30,17,2,1
239705,XII - SOCCSKSARGEN,64115,Male,57,Single Family,1,30,19,3,1
134379,XII - SOCCSKSARGEN,41044,Male,45,Single Family,3,30,17,2,1
170306,XII - SOCCSKSARGEN,49336,Male,54,Single Family,3,11,14,1,1
102854,XII - SOCCSKSARGEN,45532,Male,53,Single Family,2,11,20,2,0
85870,XII - SOCCSKSARGEN,44070,Male,25,Single Family,4,11,20,1,0
88029,XII - SOCCSKSARGEN,46251,Male,46,Single Family,5,10,15,1,0
158688,XII - SOCCSKSARGEN,72468,Male,63,Single Family,5,36,12,2,1
114106,XII - SOCCSKSARGEN,36881,Male,50,Single Family,3,10,14,1,1
165631,XII - SOCCSKSARGEN,63864,Male,33,Single Family,3,28,12,3,1
136560,XII - SOCCSKSARGEN,36167,Male,23,Extended Family,3,11,14,1,1
152709,XII - SOCCSKSARGEN,53568,Male,41,Single Family,3,14,15,1,1
43472,XII - SOCCSKSARGEN,28340,Female,29,Single Family,4,15,14,1,1
90359,XII - SOCCSKSARGEN,35610,Male,21,Single Family,3,24,20,1,1
122235,XII - SOCCSKSARGEN,44400,Female,51,Single Family,3,24,20,2,1
134932,XII - SOCCSKSARGEN,53081,Female,46,Single Family,5,67,21,2,1
59442,XII - SOCCSKSARGEN,30976,Female,40,Extended Family,6,14,20,1,0
598740,XII - SOCCSKSARGEN,62095,Male,64,Single Family,2,90,19,3,1
391694,XII - SOCCSKSARGEN,97633,Male,43,Single Family,6,28,13,2,1
89738,XII - SOCCSKSARGEN,44001,Male,38,Single Family,4,16,18,1,1
156992,XII - SOCCSKSARGEN,76734,Female,54,Single Family,9,11,13,2,1
520233,XII - SOCCSKSARGEN,135107,Male,58,Single Family,6,86,17,3,1
120157,XII - SOCCSKSARGEN,65141,Male,40,Single Family,5,14,12,1,1
70287,XII - SOCCSKSARGEN,52725,Male,46,Single Family,9,14,13,1,1
157612,XII - SOCCSKSARGEN,79216,Male,50,Single Family,4,17,14,0,1
86060,XII - SOCCSKSARGEN,46770,Male,47,Single Family,6,29,12,1,0
135868,XII - SOCCSKSARGEN,64910,Male,29,Single Family,4,27,19,1,1
41604,XII - SOCCSKSARGEN,33152,Male,38,Single Family,4,16,13,1,0
127478,XII - SOCCSKSARGEN,64564,Male,36,Single Family,5,29,15,2,1
44817,XII - SOCCSKSARGEN,26726,Male,27,Single Family,3,13,15,1,1
35811,XII - SOCCSKSARGEN,32074,Male,78,Single Family,4,14,12,0,0
116944,XII - SOCCSKSARGEN,80574,Male,56,Extended Family,7,24,12,2,1
155316,XII - SOCCSKSARGEN,70895,Male,62,Single Family,2,40,32,2,1
148164,XII - SOCCSKSARGEN,50789,Female,60,Single Family,1,36,19,2,1
423204,XII - SOCCSKSARGEN,90385,Male,59,Extended Family,6,43,19,2,1
735340,XII - SOCCSKSARGEN,130582,Male,48,Extended Family,7,43,19,2,1
189550,XII - SOCCSKSARGEN,43554,Female,25,Single Family,1,36,19,2,1
211844,XII - SOCCSKSARGEN,67742,Male,68,Extended Family,6,36,19,2,1
77680,XII - SOCCSKSARGEN,36562,Male,78,Single Family,2,45,30,2,1
69728,XII - SOCCSKSARGEN,40242,Male,37,Single Family,5,45,21,2,1
202749,XII - SOCCSKSARGEN,29722,Female,66,Single Family,1,90,17,3,1
207874,XII - SOCCSKSARGEN,89298,Male,78,Extended Family,6,67,18,2,1
60598,XII - SOCCSKSARGEN,38283,Male,37,Extended Family,6,17,12,1,1
158409,XII - SOCCSKSARGEN,30070,Male,40,Single Family,1,29,20,1,1
108256,XII - SOCCSKSARGEN,53270,Male,37,Single Family,3,67,30,2,1
101840,XII - SOCCSKSARGEN,56975,Male,54,Single Family,3,40,34,2,1
93442,XII - SOCCSKSARGEN,47835,Male,41,Single Family,4,19,14,1,1
46936,XII - SOCCSKSARGEN,33878,Male,24,Single Family,4,22,15,2,1
82694,XII - SOCCSKSARGEN,42307,Female,56,Single Family,3,32,12,2,1
79392,XII - SOCCSKSARGEN,31537,Male,22,Single Family,3,32,13,2,1
23551,XII - SOCCSKSARGEN,15033,Female,82,Single Family,1,9,14,0,0
134637,XII - SOCCSKSARGEN,106771,Male,54,Extended Family,8,38,20,3,1
110185,XII - SOCCSKSARGEN,71436,Male,33,Single Family,6,40,15,2,1
607559,XII - SOCCSKSARGEN,199968,Female,45,Extended Family,6,85,7,2,1
261307,XII - SOCCSKSARGEN,58477,Male,44,Single Family,3,75,14,2,1
139695,XII - SOCCSKSARGEN,74631,Male,41,Extended Family,6,26,12,1,1
208115,XII - SOCCSKSARGEN,102938,Male,51,Single Family,5,20,15,1,1
114584,XII - SOCCSKSARGEN,54389,Male,28,Single Family,3,12,6,1,1
60497,XII - SOCCSKSARGEN,34598,Male,59,Single Family,3,13,11,1,1
44558,XII - SOCCSKSARGEN,24366,Male,22,Single Family,2,14,12,1,1
73852,XII - SOCCSKSARGEN,60245,Male,25,Single Family,3,9,12,0,1
94761,XII - SOCCSKSARGEN,30745,Male,67,Single Family,2,30,14,1,1
123836,XII - SOCCSKSARGEN,59077,Female,60,Extended Family,3,16,12,1,1
230784,XII - SOCCSKSARGEN,92798,Male,38,Extended Family,5,70,13,2,1
119996,XII - SOCCSKSARGEN,80729,Male,52,Extended Family,6,40,12,2,1
38535,XII - SOCCSKSARGEN,20882,Male,69,Single Family,2,12,13,0,1
534008,XII - SOCCSKSARGEN,128102,Male,45,Single Family,3,54,14,3,1
412692,XII - SOCCSKSARGEN,242311,Male,48,Single Family,4,55,15,2,1
574234,XII - SOCCSKSARGEN,161167,Male,75,Extended Family,7,47,35,2,1
146203,XII - SOCCSKSARGEN,87186,Male,81,Extended Family,4,40,24,2,1
2323610,XII - SOCCSKSARGEN,196829,Male,61,Extended Family,6,150,28,3,1
224612,XII - SOCCSKSARGEN,135492,Male,41,Single Family,9,24,14,1,1
220494,XII - SOCCSKSARGEN,136138,Male,49,Single Family,7,40,14,3,1
241476,XII - SOCCSKSARGEN,91961,Male,42,Extended Family,8,18,20,0,1
175218,XII - SOCCSKSARGEN,66766,Male,44,Single Family,4,20,15,1,1
109265,XII - SOCCSKSARGEN,68138,Male,33,Single Family,7,24,17,1,1
114993,XII - SOCCSKSARGEN,69548,Male,55,Extended Family,5,27,20,1,1
124508,XII - SOCCSKSARGEN,38894,Female,52,Extended Family,4,19,35,2,1
69321,XII - SOCCSKSARGEN,28402,Female,31,Single Family,2,24,25,1,1
110002,XII - SOCCSKSARGEN,32095,Male,37,Single Family,2,11,25,1,1
91870,XII - SOCCSKSARGEN,52253,Male,39,Single Family,4,9,20,1,1
147549,XII - SOCCSKSARGEN,74566,Male,34,Single Family,3,18,15,1,1
104981,XII - SOCCSKSARGEN,62822,Female,33,Single Family,3,16,13,1,1
131302,XII - SOCCSKSARGEN,49184,Male,60,Extended Family,3,108,22,2,1
110786,XII - SOCCSKSARGEN,65467,Female,46,Extended Family,4,32,7,2,1
109329,XII - SOCCSKSARGEN,53483,Female,51,Extended Family,3,22,18,2,1
85461,XII - SOCCSKSARGEN,65027,Female,36,Single Family,3,13,35,2,1
79781,XII - SOCCSKSARGEN,53729,Male,60,Single Family,4,16,16,1,1
175782,XII - SOCCSKSARGEN,83124,Male,40,Single Family,4,18,13,2,1
115596,XII - SOCCSKSARGEN,67557,Female,69,Extended Family,8,31,17,3,1
181693,XII - SOCCSKSARGEN,99873,Male,41,Single Family,4,27,27,2,1
65566,XII - SOCCSKSARGEN,40241,Male,64,Extended Family,3,9,12,0,0
122876,XII - SOCCSKSARGEN,57849,Male,23,Single Family,3,18,15,1,1
288189,XII - SOCCSKSARGEN,107592,Male,65,Extended Family,7,27,15,2,1
163808,XII - SOCCSKSARGEN,47879,Male,46,Single Family,2,50,23,3,1
307476,XII - SOCCSKSARGEN,114032,Male,45,Single Family,6,46,13,3,1
80670,XII - SOCCSKSARGEN,32709,Female,55,Single Family,3,13,13,1,0
173724,XII - SOCCSKSARGEN,76092,Female,42,Single Family,8,39,12,1,1
119566,XII - SOCCSKSARGEN,62563,Male,51,Extended Family,5,17,18,1,1
99890,XII - SOCCSKSARGEN,38913,Female,45,Single Family,2,32,20,3,1
161554,XII - SOCCSKSARGEN,81976,Male,42,Single Family,4,29,14,2,1
81216,XII - SOCCSKSARGEN,39437,Male,63,Single Family,2,65,35,2,1
2461752,XII - SOCCSKSARGEN,202151,Male,50,Single Family,5,90,18,5,1
127848,XII - SOCCSKSARGEN,37094,Male,50,Single Family,2,10,9,1,1
190846,XII - SOCCSKSARGEN,50470,Female,63,Single Family,2,32,21,1,1
139760,XII - SOCCSKSARGEN,72385,Male,27,Single Family,3,48,27,1,1
395610,XII - SOCCSKSARGEN,137349,Female,57,Extended Family,5,48,14,3,1
107177,XII - SOCCSKSARGEN,32372,Male,57,Single Family,2,100,21,2,1
165271,XII - SOCCSKSARGEN,53376,Male,32,Extended Family,2,48,35,2,1
264300,XII - SOCCSKSARGEN,95576,Male,35,Single Family,3,60,35,2,1
256120,XII - SOCCSKSARGEN,133968,Male,37,Extended Family,7,200,35,4,1
390150,XII - SOCCSKSARGEN,125444,Male,48,Single Family,6,30,18,2,1
563122,XII - SOCCSKSARGEN,123525,Female,52,Single Family,2,48,15,2,1
96844,XII - SOCCSKSARGEN,45764,Male,55,Single Family,2,16,15,1,1
87834,XII - SOCCSKSARGEN,36476,Male,57,Single Family,1,120,25,2,1
99576,XII - SOCCSKSARGEN,31401,Male,23,Single Family,1,16,13,0,1
147697,XII - SOCCSKSARGEN,78756,Male,43,Extended Family,6,60,63,1,1
720600,XII - SOCCSKSARGEN,317138,Male,69,Extended Family,8,115,30,4,1
514210,XII - SOCCSKSARGEN,138641,Male,52,Extended Family,8,13,14,3,1
96146,XII - SOCCSKSARGEN,64725,Male,42,Single Family,4,32,27,2,1
175562,XII - SOCCSKSARGEN,106036,Male,42,Single Family,6,120,46,4,1
199075,XII - SOCCSKSARGEN,98527,Male,26,Single Family,3,48,19,1,1
149020,XII - SOCCSKSARGEN,70829,Male,57,Single Family,3,60,45,1,1
115158,XII - SOCCSKSARGEN,87066,Male,43,Extended Family,4,32,35,0,1
144880,XII - SOCCSKSARGEN,100038,Male,58,Extended Family,3,80,61,0,0
137626,XII - SOCCSKSARGEN,82632,Male,41,Single Family,6,14,25,2,1
158780,XII - SOCCSKSARGEN,87564,Male,50,Single Family,4,42,12,2,1
289023,XII - SOCCSKSARGEN,147837,Male,59,Extended Family,11,150,23,2,1
158111,XII - SOCCSKSARGEN,75915,Male,35,Single Family,4,5,12,2,1
213177,XII - SOCCSKSARGEN,113677,Male,50,Single Family,3,30,3,0,1
63776,XII - SOCCSKSARGEN,40549,Male,55,Single Family,3,30,14,2,1
105115,XII - SOCCSKSARGEN,49350,Male,46,Single Family,3,30,25,0,1
179253,XII - SOCCSKSARGEN,73337,Male,37,Single Family,3,60,13,2,1
102765,XII - SOCCSKSARGEN,67174,Male,30,Single Family,3,40,12,0,1
130158,XII - SOCCSKSARGEN,86648,Male,34,Single Family,4,50,17,1,1
70037,XII - SOCCSKSARGEN,53824,Male,41,Single Family,5,40,12,0,1
128410,XII - SOCCSKSARGEN,77636,Female,60,Single Family,3,50,15,1,1
125063,XII - SOCCSKSARGEN,84334,Female,59,Extended Family,4,80,21,2,0
119447,XII - SOCCSKSARGEN,85441,Male,38,Single Family,4,81,12,2,1
108202,XII - SOCCSKSARGEN,66109,Female,59,Single Family,3,60,19,2,1
252663,XII - SOCCSKSARGEN,48799,Male,63,Single Family,2,40,17,0,0
383267,XII - SOCCSKSARGEN,27003,Female,79,Single Family,1,100,26,1,1
304464,XII - SOCCSKSARGEN,90266,Male,35,Extended Family,3,22,12,3,1
238268,XII - SOCCSKSARGEN,129815,Male,38,Single Family,5,15,13,2,1
201358,XII - SOCCSKSARGEN,77528,Male,49,Extended Family,6,15,13,1,1
88854,XII - SOCCSKSARGEN,67309,Male,38,Single Family,5,9,12,1,1
139230,XII - SOCCSKSARGEN,76049,Male,37,Extended Family,4,14,16,1,1
84680,XII - SOCCSKSARGEN,65594,Male,31,Single Family,4,22,12,1,1
194343,XII - SOCCSKSARGEN,79375,Male,66,Extended Family,7,25,12,2,1
153410,XII - SOCCSKSARGEN,75021,Male,52,Single Family,3,27,12,2,1
164550,XII - SOCCSKSARGEN,59892,Male,53,Single Family,3,23,12,2,1
100345,XII - SOCCSKSARGEN,48335,Male,29,Single Family,3,23,12,2,1
154595,XII - SOCCSKSARGEN,57331,Male,30,Extended Family,6,13,12,2,1
300390,XII - SOCCSKSARGEN,128267,Male,49,Extended Family,9,33,12,3,1
63756,XII - SOCCSKSARGEN,35065,Male,45,Single Family,5,9,12,1,1
155880,XII - SOCCSKSARGEN,79320,Male,29,Single Family,3,17,13,1,1
671621,XII - SOCCSKSARGEN,49693,Male,50,Extended Family,3,60,12,2,1
189813,XII - SOCCSKSARGEN,110609,Male,35,Single Family,4,16,12,2,1
300621,XII - SOCCSKSARGEN,103880,Male,42,Single Family,4,45,12,2,1
362048,XII - SOCCSKSARGEN,95606,Male,58,Single Family,5,30,12,2,1
113780,XII - SOCCSKSARGEN,70858,Male,33,Single Family,4,10,12,1,1
158282,XII - SOCCSKSARGEN,94369,Male,40,Single Family,4,27,12,2,1
187854,XII - SOCCSKSARGEN,70426,Male,29,Single Family,3,17,12,0,1
198252,XII - SOCCSKSARGEN,78721,Male,30,Single Family,5,27,13,1,1
106522,XII - SOCCSKSARGEN,75963,Male,38,Extended Family,8,45,12,3,1
184308,XII - SOCCSKSARGEN,62054,Male,34,Single Family,3,32,1,2,1
105321,XII - SOCCSKSARGEN,76785,Female,28,Extended Family,5,29,12,2,1
176066,XII - SOCCSKSARGEN,64085,Male,62,Single Family,2,36,50,2,1
231520,XII - SOCCSKSARGEN,61217,Male,34,Single Family,6,9,35,1,1
112070,XII - SOCCSKSARGEN,33179,Male,39,Single Family,1,5,35,1,1
90186,XII - SOCCSKSARGEN,55318,Male,53,Extended Family,6,50,7,1,1
308296,XII - SOCCSKSARGEN,133824,Male,45,Extended Family,6,50,19,3,1
479083,XII - SOCCSKSARGEN,52293,Male,58,Single Family,4,54,24,3,1
108975,XII - SOCCSKSARGEN,55177,Male,40,Single Family,4,30,27,1,1
136220,XII - SOCCSKSARGEN,43208,Male,52,Single Family,3,50,14,2,1
66202,XII - SOCCSKSARGEN,46440,Male,35,Single Family,1,14,2,2,1
274754,XII - SOCCSKSARGEN,34334,Female,35,Single Family,4,41,10,2,1
348249,XII - SOCCSKSARGEN,161076,Male,47,Extended Family,7,50,13,3,1
292332,XII - SOCCSKSARGEN,158969,Male,36,Extended Family,11,14,7,1,1
122630,XII - SOCCSKSARGEN,65773,Male,36,Single Family,7,18,5,1,1
104372,XII - SOCCSKSARGEN,66389,Male,36,Single Family,4,18,7,1,1
289946,XII - SOCCSKSARGEN,211122,Male,65,Extended Family,6,47,13,2,1
65488,XII - SOCCSKSARGEN,74356,Male,53,Extended Family,9,23,8,2,1
104398,XII - SOCCSKSARGEN,70838,Male,34,Single Family,6,40,3,1,1
40137,XII - SOCCSKSARGEN,39962,Male,76,Extended Family,3,9,1,1,1
80845,XII - SOCCSKSARGEN,62315,Male,33,Single Family,4,30,5,1,1
98187,XII - SOCCSKSARGEN,65653,Male,41,Single Family,7,12,20,1,1
37213,XII - SOCCSKSARGEN,34716,Female,46,Single Family,3,9,7,1,0
112257,XII - SOCCSKSARGEN,72605,Male,42,Single Family,5,17,3,2,1
55990,XII - SOCCSKSARGEN,27163,Female,77,Single Family,2,14,15,2,1
107491,XII - SOCCSKSARGEN,59589,Male,54,Single Family,2,14,1,1,0
203283,XII - SOCCSKSARGEN,95509,Male,39,Single Family,3,27,9,1,1
85722,XII - SOCCSKSARGEN,42161,Male,37,Single Family,4,9,6,1,1
227913,XII - SOCCSKSARGEN,163662,Male,45,Single Family,5,51,12,2,1
60235,XII - SOCCSKSARGEN,29876,Male,59,Single Family,1,37,18,1,1
533757,XII - SOCCSKSARGEN,183390,Male,50,Extended Family,7,57,18,3,1
159315,XII - SOCCSKSARGEN,67384,Female,35,Extended Family,3,45,3,3,0
1787416,XII - SOCCSKSARGEN,729606,Male,64,Extended Family,10,60,15,4,1
411018,XII - SOCCSKSARGEN,159230,Male,54,Single Family,5,40,28,1,1
307798,XII - SOCCSKSARGEN,98086,Male,39,Single Family,3,49,5,2,1
143900,XII - SOCCSKSARGEN,69320,Male,61,Single Family,3,18,30,2,1
429450,XII - SOCCSKSARGEN,109543,Male,57,Extended Family,5,23,36,2,1
658122,XII - SOCCSKSARGEN,133512,Male,55,Extended Family,8,22,13,3,1
254408,XII - SOCCSKSARGEN,82999,Female,58,Extended Family,4,36,39,3,1
110240,XII - SOCCSKSARGEN,64214,Male,63,Extended Family,4,7,13,1,1
1031467,XII - SOCCSKSARGEN,102988,Female,63,Extended Family,3,23,27,1,1
891500,XII - SOCCSKSARGEN,193082,Male,53,Extended Family,6,68,35,4,1
286088,XII - SOCCSKSARGEN,109291,Male,76,Extended Family,6,49,36,3,1
269668,XII - SOCCSKSARGEN,88815,Male,73,Extended Family,4,20,26,2,1
192550,XII - SOCCSKSARGEN,57501,Female,65,Single Family,2,49,45,3,1
1788000,XII - SOCCSKSARGEN,112174,Male,43,Single Family,5,157,28,7,1
207422,XII - SOCCSKSARGEN,66109,Male,68,Single Family,4,35,32,3,1
331598,XII - SOCCSKSARGEN,108201,Male,63,Extended Family,4,23,18,2,1
417585,XII - SOCCSKSARGEN,319358,Female,58,Extended Family,4,24,27,3,1
189304,XII - SOCCSKSARGEN,89317,Male,52,Single Family,4,23,30,2,1
102020,XII - SOCCSKSARGEN,75124,Male,67,Extended Family,4,24,40,1,1
300574,XII - SOCCSKSARGEN,86458,Male,52,Extended Family,5,27,13,3,1
298600,XII - SOCCSKSARGEN,101954,Male,68,Extended Family,10,23,72,3,1
290941,XII - SOCCSKSARGEN,97634,Female,58,Extended Family,4,43,42,3,1
587000,XII - SOCCSKSARGEN,126845,Female,59,Single Family,3,50,21,3,1
155290,XII - SOCCSKSARGEN,82061,Male,40,Single Family,4,15,6,1,1
136169,XII - SOCCSKSARGEN,63829,Male,42,Single Family,4,15,3,1,1
64707,XII - SOCCSKSARGEN,70399,Male,30,Single Family,4,15,12,1,1
296164,XII - SOCCSKSARGEN,105147,Male,51,Extended Family,5,38,23,2,1
442107,XII - SOCCSKSARGEN,99254,Female,37,Single Family,3,38,33,3,1
